Players,Team,Possessions,SQ PPP,SQ PPP Rank,Good_Possession_Rate,Bad_Possession_Rate,Rim_and_3_rate,Assists_per_game,Actual_Win_Percentage,SQ_Assists_per_game,SQ_Passing_Points_Created_per_game
"Keeyan Itejere","Marquette",6,1.75,0.998953537,1,0,0.8,0,,"",""
"Pierre Geneste","Louisiana Tech",4,1.74,0.9987442445,1,0,1,0,,"",""
"Jamel Melvin","Northern Colorado",2,1.66,0.9985349519,1,0,"N/A",1,,"",""
"Jeffrey Yan","Long Beach St.",2,1.62,0.9983256593,1,0,"N/A",0.5,,"",""
"Chase Courbat","Northern Iowa",2,1.61,0.9979070741,1,0,"N/A",0,,"",""
"Kamarie Coffey","Austin Peay",2,1.61,0.9979070741,1,0,"N/A",0,,"",""
"Jaden Geron","Rice",2,1.59,0.9976977815,1,0,"N/A",0,,"",""
"Matthew Marsh","Wake Forest",98,1.57,0.9974884889,0.825,0.0666666667,0.962962963,0.3,,"",""
"Kellen Thames","Saint Louis",2,1.56,0.9972791963,1,0,"N/A",0,,"",""
"Brenen Lorient","Florida Atlantic",9,1.54,0.9968606111,0.7777777778,0.1111111111,0.8888888889,0,,"",""
"Ernest Udeh Jr.","Kansas",40,1.54,0.9970699037,0.8571428571,0.0612244898,0.8484848485,0.4,,"",""
"Avaughn  Johnson","Jackson St.",4,1.53,0.9962327334,0.8333333333,0.1666666667,1,1,,"",""
"Colby Brooks","Gonzaga",5,1.53,0.996442026,0.75,0,1,0,,"",""
"Mohamed Keita","St. John's",3,1.53,0.9966513185,0.6666666667,0.3333333333,0.6666666667,0,,"",""
"Joe Moon","Bryant",2,1.52,0.9960234408,0.6666666667,0,1,0.3,,"",""
"Braxton Meah","Washington",167,1.48,0.9949769778,0.7582938389,0.1327014218,0.8796992481,0.7,,"",""
"Dante Eldridge","Iowa",3,1.48,0.9951862704,0.75,0.25,1,1,,"",""
"Josiah Davis","West Virginia",6,1.48,0.9956048556,0.7777777778,0,0.6666666667,0.2,,"",""
"KJ Hymes","Nevada",15,1.48,0.995395563,0.8695652174,0,1,0.3,,"",""
"Zuby Ejiofor","Kansas",23,1.48,0.9958141482,0.7407407407,0.0740740741,1,0.3,,"",""
"Caelum Swanton-Rodger","Maryland",11,1.46,0.9943491,0.7857142857,0,1,0,,"",""
"Touba Traore","Niagara",5,1.46,0.9945583926,0.8571428571,0,1,0.5,,"",""
"Jay Yoon","Pepperdine",5,1.45,0.9941398075,0.6666666667,0.1666666667,0.75,0,,"",""
"Sebastian Forsling","New Mexico",18,1.44,0.9939305149,0.7916666667,0.125,0.9230769231,0.3,,"",""
"Stephen Burggraf","Liberty",3,1.44,0.9937212223,0.8,0,1,0,,"",""
"Mike Piwko","Holy Cross",4,1.43,0.9935119297,0.8571428571,0,1,0,,"",""
"Vernon Collins","Princeton",2,1.42,0.9933026371,1,0,1,0.5,,"",""
"Kaodirichi Akobundu-Ehiogu","Memphis",52,1.41,0.9930933445,0.7014925373,0.1492537313,0.925,0.2,,"",""
"Alex Anamekwe","Texas",13,1.4,0.9920468815,0.4615384615,0.0769230769,1,0.2,,"",""
"Chris Payton","Kent St.",87,1.4,0.9926747593,0.6902654867,0.1150442478,0.9090909091,0.4,,"",""
"Elijah Muhammad","Seton Hall",3,1.4,0.9922561741,0.6666666667,0,1,0,,"",""
"Jaren Nafarrete","Seattle",2,1.4,0.9928840519,0.5,0.5,0.5,0,,"",""
"John Shanu","UT Rio Grande Valley",28,1.4,0.9914190038,0.7777777778,0.1111111111,0.9545454545,0.5,,"",""
"Noble Crawford","LIU",9,1.4,0.9916282964,0.7272727273,0.1818181818,0.7142857143,1,,"",""
"Yves Nkomba","Kennesaw St.",3,1.4,0.9924654667,0.8,0,1,0,,"",""
"Chris Rubayo","Lafayette",9,1.39,0.9905818334,0.7692307692,0.0769230769,0.8333333333,1,,"",""
"Greg Cooper","Harvard",4,1.39,0.9901632482,0.5,0.25,0.75,0,,"",""
"Jaxon Ellingsworth","East Carolina",2,1.39,0.9903725408,0.5,0,1,0,,"",""
"Machai Nelson","Hartford",9,1.39,0.9912097112,0.9411764706,0,1,0.2,,"",""
"Rick Issanza","Loyola Marymount",65,1.39,0.990791126,0.7272727273,0.0909090909,0.9821428571,0.3,,"",""
"Seth Pinkney","FIU",61,1.39,0.9910004186,0.7534246575,0.0684931507,0.9230769231,0.2,,"",""
"Christian Fermin","VCU",7,1.38,0.9893260779,0.9230769231,0,1,0,,"",""
"Goanar Biliew","Bradley",9,1.38,0.9891167853,0.6923076923,0.0769230769,1,1.3,,"",""
"Matt Dove","Army",28,1.38,0.9895353704,0.6470588235,0.1470588235,1,0.2,,"",""
"Nick Pringle","Alabama",54,1.38,0.989744663,0.8243243243,0.027027027,0.9487179487,0.4,,"",""
"Nick Townsend","Yale",5,1.38,0.9889074927,0.7142857143,0.1428571429,1,0.2,,"",""
"Sam Onu","Florida Gulf Coast",9,1.38,0.9899539556,0.8461538462,0,0.6666666667,0.2,,"",""
"Christian Reeves","Duke",10,1.37,0.9884889075,0.8461538462,0.0769230769,0.8571428571,0.2,,"",""
"Kadin Shedrick","Virginia",106,1.37,0.9886982001,0.6764705882,0.1617647059,0.8414634146,0.7,,"",""
"Scottie Ebube","Southern Illinois",31,1.37,0.9882796149,0.7,0.1,0.875,0.1,,"",""
"Will Shaver","North Carolina",2,1.37,0.9880703223,0.6666666667,0,1,0.5,,"",""
"Akrum Ahemed","UNC Greensboro",2,1.36,0.9868145668,0.6666666667,0,1,0,,"",""
"Dereck Lively","Duke",103,1.36,0.986186689,0.6470588235,0.1680672269,0.9555555556,1.1,,"",""
"Hason Ward","Iowa St.",43,1.36,0.9863959816,0.6086956522,0.1739130435,0.9,0.4,,"",""
"Imanuel Zorgvol","Northern Kentucky",51,1.36,0.9870238594,0.6551724138,0.2068965517,0.8666666667,0.1,,"",""
"Jamarion Sharp","Western Kentucky",136,1.36,0.9878610297,0.3539325843,0.1460674157,0.7766990291,0.2,,"",""
"Jeff Grace","Nebraska",4,1.36,0.9872331519,0.8333333333,0,1,0.2,,"",""
